日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PB市值加权,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2025-12-16,=5414.3200,=11332.0800,=22910310859252.5547,=15504245576736,=5148529370537.0908,=0.8378,=0.4578,=1.1141,=0.8755,=0.7113
2025-12-15,=5457.0300,=11421.4900,=23027487507394.2930,=15580251111512,=5176658378147.5898,=0.8421,=0.4632,=1.1143,=0.8757,=0.7113
2025-12-12,=5426.7200,=11354.2700,=20960092885367.0469,=14998841118385,=4451070643894.4297,=0.7960,=0.3864,=1.1145,=0.8767,=0.7113
2025-12-11,=5435.6200,=11369.8700,=21104630661932.4023,=15105145198999,=4443903176540.7285,=0.8014,=0.3952,=1.1145,=0.8767,=0.7113
2025-12-10,=5481.5800,=11460.9300,=21115858521751.5117,=15061500701921,=4443591815254.5693,=0.7993,=0.3919,=1.1145,=0.8768,=0.7113
2025-12-09,=5476.8400,=11451.0300,=21385651304977.4414,=15242310373686,=4472012602631.6895,=0.8095,=0.4063,=1.1146,=0.8770,=0.7113
2025-12-08,=5527.4200,=11556.7900,=21376190435783.4766,=15239686214472,=4499114234978.4609,=0.8092,=0.4043,=1.1149,=0.8773,=0.7113
2025-12-05,=5557.9700,=11620.6400,=21380928134097.3828,=15253550609973,=4494176011018.0400,=0.8093,=0.4053,=1.1154,=0.8777,=0.7113
2025-12-04,=5552.9600,=11610.1700,=21451341221460.6953,=15307292639562,=4474594143771.0098,=0.8120,=0.4084,=1.1154,=0.8778,=0.7113
2025-12-03,=5573.9000,=11652.5900,=21518086993419.5313,=15347943826430,=4485374160067.0010,=0.8145,=0.4117,=1.1154,=0.8779,=0.7113
2025-12-02,=5584.8627,=11675.5100,=21690656317852.4727,=15444997468050,=4514121176433.1211,=0.8210,=0.4253,=1.1158,=0.8780,=0.7113
2025-12-01,=5591.8200,=11690.0600,=21673006158176.5547,=15416028407943,=4509836119874.4688,=0.8204,=0.4228,=1.1159,=0.8786,=0.7113
2025-11-28,=5545.8400,=11593.9300,=21601406391879.1445,=15334287403992,=4486425288199.1602,=0.8177,=0.4173,=1.1159,=0.8797,=0.7113
2025-11-27,=5540,=11581.7200,=21765067121234.8672,=15446188178924,=4512423379734.4395,=0.8239,=0.4277,=1.1159,=0.8797,=0.7113
2025-11-26,=5530.7900,=11562.4700,=21644304818437.1992,=15337675244192,=4495837426972.5000,=0.8193,=0.4195,=1.1165,=0.8798,=0.7113
2025-11-25,=5554.2200,=11611.4400,=21877843399605.8047,=15496722788256,=4521363010175.8604,=0.8281,=0.4360,=1.1167,=0.8801,=0.7113
2025-11-24,=5527.1700,=11553.1900,=21678896297143.6875,=15370886656547,=4477493895098.3682,=0.8206,=0.4220,=1.1168,=0.8802,=0.7113
